"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x2ffffca0"
"2","0.008089","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x2ffffca0"
"3","0.040355","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.11? (ARP Probe)"
"4","0.496008","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.11? (ARP Probe)"
"5","0.712889","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.11? (ARP Probe)"
"6","0.713263","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"7","0.713316","::","ff02::1:ff92:9dd7","ICMPv6","78","Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7"
"8","0.949775","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.11"
"9","1.009678","192.168.101.11","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"10","1.017285","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"11","1.121447","192.168.101.11","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"12","1.150334","192.168.101.11","224.0.0.251","MDNS","179","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.11"
"13","1.450681","192.168.101.11","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.11"
"14","1.725080","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.11"
"15","1.731297","fe80::5648:e6ff:fe92:9dd7","ff02::2","ICMPv6","70","Router Solicitation from 54:48:e6:92:9d:d7"
"16","1.731592","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"17","1.828065","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"18","1.828251","fe80::5648:e6ff:fe92:9dd7","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"19","1.951978","192.168.101.11","224.0.0.251","MDNS","219","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.11 AAAA fe80::5648:e6ff:fe92:9dd7"
