"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xac756d9a"
"2","0.095076","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xac756d9a"
"3","0.105646","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.16? (ARP Probe)"
"4","0.493842","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.16? (ARP Probe)"
"5","0.807035","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.16? (ARP Probe)"
"6","0.807095","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"7","0.816550","::","ff02::1:ff92:9dd7","ICMPv6","78","Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7"
"8","1.027308","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.16"
"9","1.027862","192.168.101.16","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"10","1.123811","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"11","1.231270","192.168.101.16","224.0.0.251","MDNS","179","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.16"
"12","1.452786","192.168.101.16","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"13","1.539959","192.168.101.16","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.16"
"14","1.828098","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.16"
"15","1.830920","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"16","1.984599","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"17","2.039840","192.168.101.16","224.0.0.251","MDNS","239","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.16 AAAA fe80::5648:e6ff:fe92:9dd7"
"18","2.144973","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.16 AAAA fe80::5648:e6ff:fe92:9dd7"
