"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xb642a8e2"
"2","0.001211","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"3","0.001277","::","ff02::1:ff92:9dd7","ICMPv6","78","Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7"
"4","0.001729","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Done"
"5","0.067291","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xb642a8e2"
"6","0.129484","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.16? (ARP Probe)"
"7","0.495827","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.101.16? (ARP Probe)"
"8","1.007667","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.16"
"9","1.039122","192.168.101.16","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"10","1.060656","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.16"
"11","1.095959","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"12","1.095959","::","ff02::1:ff92:9dd7","ICMPv6","78","Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7"
"13","1.120714","::","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"14","1.238898","192.168.101.16","224.0.0.251","MDNS","179","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.16"
"15","1.337647","192.168.101.16","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"16","1.550015","192.168.101.16","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.16"
"17","1.838721","192.168.101.16","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.16"
"18","2.040696","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.101.16"
"19","2.040740","fe80::5648:e6ff:fe92:9dd7","ff02::2","ICMPv6","70","Router Solicitation from 54:48:e6:92:9d:d7"
"20","2.040969","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"21","2.151949","192.168.101.16","224.0.0.251","MDNS","394","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.101.16 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"22","2.249463","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.101.16 AAAA fe80::5648:e6ff:fe92:9dd7"
"23","2.335761","fe80::5648:e6ff:fe92:9dd7","ff02::1:ff92:9dd7","ICMPv6","86","Multicast Listener Report"
"24","2.449396","fe80::5648:e6ff:fe92:9dd7","ff02::fb","ICMPv6","86","Multicast Listener Report"
"25","2.576612","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.16 AAAA fe80::5648:e6ff:fe92:9dd7"
"26","2.881743","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.101.16 AAAA fe80::5648:e6ff:fe92:9dd7"
