"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_92:9d:d7","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","0.157219","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xb3daa740"
"3","0.201277","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xb3daa740"
"4","0.214488","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.31.38? (ARP Probe)"
"5","0.378511","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.31.38? (ARP Probe)"
"6","0.378511","::","ff02::1:ff92:9dd7","ICMPv6","78","Neighbor Solicitation for fe80::5648:e6ff:fe92:9dd7"
"7","0.491750","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.31.38? (ARP Probe)"
"8","0.992471","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.31.38"
"9","1.008853","BeijingX_92:9d:d7","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.38"
"10","1.205809","192.168.31.38","224.0.0.251","MDNS","199","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.31.38"
"11","1.350560","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.31.38"
"12","1.505196","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","190","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"13","1.606681","192.168.31.38","224.0.0.251","MDNS","195","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"14","1.810618","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"15","1.913298","192.168.31.38","224.0.0.251","MDNS","195","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"16","2.118561","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"17","2.220343","192.168.31.38","224.0.0.251","MDNS","195","Standard query 0x0000 ANY MiDeskLamp1S-9DD7._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.38 AAAA fe80::5648:e6ff:fe92:9dd7"
"18","2.351418","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.31.38"
"19","2.351992","fe80::5648:e6ff:fe92:9dd7","ff02::2","ICMPv6","70","Router Solicitation from 54:48:e6:92:9d:d7"
"20","2.434678","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","375","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"21","2.528310","192.168.31.38","224.0.0.251","MDNS","355","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"22","3.361662","BeijingX_92:9d:d7","Broadcast","ARP","60","ARP Announcement for 192.168.31.38"
"23","3.505038","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","375","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"24","3.606052","192.168.31.38","224.0.0.251","MDNS","355","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"25","4.604877","fe80::5648:e6ff:fe92:9dd7","ff02::fb","MDNS","375","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"26","4.704583","192.168.31.38","224.0.0.251","MDNS","355","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-9DD7._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.31.38 AAAA, cache flush fe80::5648:e6ff:fe92:9dd7"
"27","6.354653","fe80::5648:e6ff:fe92:9dd7","ff02::2","ICMPv6","70","Router Solicitation from 54:48:e6:92:9d:d7"
