"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_b7:28:1c","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","1.224062","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xdf52e37d"
"3","1.262382","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xdf52e37d"
"4","1.272001","BeijingX_b7:28:1c","Broadcast","ARP","60","Who has 192.168.31.83? (ARP Probe)"
"5","1.453794","BeijingX_b7:28:1c","Broadcast","ARP","60","Who has 192.168.31.83? (ARP Probe)"
"6","1.954160","BeijingX_b7:28:1c","Broadcast","ARP","60","Who has 192.168.31.83? (ARP Probe)"
"7","1.954160","BeijingX_b7:28:1c","Broadcast","ARP","60","ARP Announcement for 192.168.31.83"
"8","2.280978","BeijingX_b7:28:1c","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.83"
"9","2.977617","BeijingX_b7:28:1c","Broadcast","ARP","60","ARP Announcement for 192.168.31.83"
"10","3.953347","BeijingX_b7:28:1c","Broadcast","ARP","60","ARP Announcement for 192.168.31.83"
"11","4.953018","BeijingX_b7:28:1c","Broadcast","ARP","60","ARP Announcement for 192.168.31.83"
