"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_9a:80:d9","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1"
"2","0.166454","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0xb9bf48e"
"3","0.291686","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0xb9bf48e"
"4","0.318651","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.31.158? (ARP Probe)"
"5","0.468691","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.31.158? (ARP Probe)"
"6","0.982583","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.31.158"
"7","0.990683","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.31.1? Tell 192.168.31.158"
"8","1.083464","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.31.158"
"9","1.084990","::","ff02::1:ff9a:80d9","ICMPv6","78","Neighbor Solicitation for fe80::5ee5:cff:fe9a:80d9"
"10","1.288192","192.168.31.158","224.0.0.251","MDNS","179","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.31.158"
"11","1.596775","192.168.31.158","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.158"
"12","1.906446","192.168.31.158","224.0.0.251","MDNS","167","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.31.158"
"13","2.029928","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.31.158"
