"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","BeijingX_9a:80:d9","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.104237","0.0.0.0","255.255.255.255","DHCP","350","DHCP Discover - Transaction ID 0x9cbd71c0"
"3","0.126451","0.0.0.0","255.255.255.255","DHCP","350","DHCP Request  - Transaction ID 0x9cbd71c0"
"4","0.149007","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.2? (ARP Probe)"
"5","0.670931","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.2? (ARP Probe)"
"6","0.671222","::","ff02::1:ff9a:80d9","ICMPv6","78","Neighbor Solicitation for fe80::5ee5:cff:fe9a:80d9"
"7","0.671342","::","ff02::2","ICMPv6","62","Router Solicitation"
"8","0.671522","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.2? (ARP Probe)"
"9","1.103612","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.50.2"
"10","1.149252","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.1? Tell 192.168.50.2"
"11","1.380925","192.168.50.2","224.0.0.251","MDNS","179","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.50.2"
"12","1.590005","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.50.2"
"13","1.730373","192.168.50.2","224.0.0.251","MDNS","219","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"14","1.837078","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QU"" question ANY MyHost.local, ""QU"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"15","2.026479","192.168.50.2","224.0.0.251","MDNS","195","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"16","2.128072","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"17","2.324370","192.168.50.2","224.0.0.251","MDNS","195","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"18","2.435667","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","215","Standard query 0x0000 ANY MiDeskLamp1S-80D9._hap._tcp.local, ""QM"" question ANY MyHost.local, ""QM"" question SRV 0 0 80 MyHost.local A 192.168.50.2 AAAA fe80::5ee5:cff:fe9a:80d9"
"19","2.615954","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.50.2"
"20","2.629882","192.168.50.2","224.0.0.251","MDNS","390","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"21","2.725942","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","375","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"22","2.829589","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.90? Tell 192.168.50.2"
"23","3.635718","BeijingX_9a:80:d9","Broadcast","ARP","60","ARP Announcement for 192.168.50.2"
"24","3.636071","BeijingX_9a:80:d9","Broadcast","ARP","60","Who has 192.168.50.90? Tell 192.168.50.2"
"25","3.746007","192.168.50.2","224.0.0.251","MDNS","355","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"26","3.834137","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","410","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"27","4.580654","fe80::5ee5:cff:fe9a:80d9","ff02::2","ICMPv6","70","Router Solicitation from 5c:e5:0c:9a:80:d9"
"28","4.862462","192.168.50.2","224.0.0.251","MDNS","355","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"29","4.950514","fe80::5ee5:cff:fe9a:80d9","ff02::fb","MDNS","365","Standard query response 0x0000 PTR _hap._tcp.local PTR MiDeskLamp1S-80D9._hap._tcp.local SRV, cache flush 0 0 80 MyHost.local TXT, cache flush A, cache flush 192.168.50.2 AAAA, cache flush fe80::5ee5:cff:fe9a:80d9"
"30","8.585253","fe80::5ee5:cff:fe9a:80d9","ff02::2","ICMPv6","70","Router Solicitation from 5c:e5:0c:9a:80:d9"
